_source_file,time_raw,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
0515-awb is teh xD.dm_26.dm_meta,60388480,59750280,,MOD_REPEATER_ALT_SPLASH,bad,False,0.10666666666666667,0.16333333333333333,0.14821438922867605,0.02829473803615575,00:10:39.120,rosh,^4T^7or^4N,MOD_REPEATER_ALT_SPLASH,5.79079532623291,0.14476987719535828,22.09506607055664,669.5474853515625,182.0,352,0,379,306.0,92.0,316.0,,,253.0,114.0
0515-awb is teh xD.dm_26.dm_meta,60425760,59750280,,MOD_ROCKET_SPLASH,bad,False,0.15,0.11666666666666667,0.06556314406693052,0.09021976275773418,00:11:16.400,rosh,,MOD_ROCKET_SPLASH,5.09832239151001,0.12745806574821472,5.295948505401611,160.48329162597656,244.0,439,0,415,439.0,302.0,210.0,,,1972.0,1883.0
0515-awb is teh xD.dm_26.dm_meta,60561480,59750280,,MOD_BRYAR_PISTOL_ALT,bad,False,0.09666666666666666,0.13,0.0625124398069865,0.002585154178763789,00:13:32.120,rosh,,MOD_BRYAR_PISTOL_ALT,1.2806614637374878,0.032016538083553314,7.356626510620117,222.92807006835938,256.0,243,0,200,440.0,25.0,135.0,120.0,-5.0,52.0,0.0
0515-awb is teh xD.dm_26.dm_meta,60815280,59750280,,MOD_FALLING,bad,False,,,,,00:17:45.920,rosh,rosh,MOD_FALLING,0.0,0.0,1.8501853942871094,56.06622314453125,0.0,0,0,0,0.0,0.0,0.0,,,0.0,0.0
0515-awb is teh xD.dm_26.dm_meta,60945920,59750280,,MOD_FALLING,bad,False,,,,,00:19:56.560,Rosh,Rosh,MOD_FALLING,0.0,0.0,0.1476016342639923,4.472776889801025,0.0,0,0,0,0.0,0.0,0.0,,,0.0,0.0
0550.dm_26.dm_meta,39069650,38970550,,MOD_ROCKET_SPLASH,bad,False,0.24,0.24,0.21875342429926833,0.25407713468300075,00:01:40.350,JAMES T KIRK,f^1O^7a,MOD_ROCKET_SPLASH,3.8315398693084717,0.07663080096244812,37.42018508911133,1133.945068359375,238.0,550,80,544,522.0,356.0,546.0,,,79.0,26.0
0550.dm_26.dm_meta,39097900,38970550,,MOD_ROCKET_SPLASH,bad,False,0.28,0.27666666666666667,0.14098538295661617,0.12927049795933587,00:02:08.600,JAMES T KIRK,f^1O^7a,MOD_ROCKET_SPLASH,0.0,0.0,5.479832649230957,166.0555419921875,144.0,92,249,281,218.0,396.0,196.0,,,32.0,0.0
0550.dm_26.dm_meta,39129600,38970550,,MOD_ROCKET,bad,False,0.01,0.016666666666666666,0.018825718682366214,0.003997243778862325,00:02:40.300,JAMES T KIRK,^4K^7ill^4y,MOD_ROCKET,7.161790370941162,0.047745268791913986,22.89866828918457,693.8990478515625,125.0,509,39,431,483.0,127.0,128.0,100.0,-14.0,95.0,0.0
0550.dm_26.dm_meta,39136650,38970550,,MOD_ROCKET,bad,False,0.12,0.1,0.023887048932381534,0.05874777084040326,00:02:47.350,JAMES T KIRK,^7qui^5n,MOD_ROCKET,0.0,0.0,9.856447219848633,298.6802062988281,306.0,436,0,456,157.0,218.0,254.0,500.0,-9.0,107.0,18.0
0550.dm_26.dm_meta,39136650,38970550,,MOD_ROCKET_SPLASH,bad,False,0.18,0.3333333333333333,0.23242651009496226,0.17419087378579598,00:02:47.350,JAMES T KIRK,f^1O^7a,MOD_ROCKET_SPLASH,0.0,0.0,9.856447219848633,298.6802062988281,265.0,436,0,456,526.0,87.0,349.0,,,72.0,0.0
