_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_nb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2018-01-22 nelvaan 4v4.dm_26.dm_meta,1005386,0:14:35,131216,1346573,MOD_DISRUPTOR,good,FALSE,,,,,0.8557399357,0:14:35,^3Xen_Crypt,^5THE EVERRAPING,MOD_DISRUPTOR,0.3493669629,0.01058687735,2.348364592,71.16256714,845,495,171,540,47,167,463,,,225,223
2018-04-25 nelvaan 4v4 (2).dm_26.dm_meta,1509832,0:07:25,1066015,,MOD_DISRUPTOR,good,FALSE,,,,,0.956711955,0:07:25,^3Xen_Crypt,^0[DRaGoN]^3Zakat,MOD_DISRUPTOR,0,0,2.034117937,61.63993835,160,560,25,492,592,363,515,,,78,24
2018-04-25 nelvaan 4v4.dm_26.dm_meta,733433,0:06:05,369410,1018091,MOD_DISRUPTOR,good,FALSE,,,,,0.8239945855,0:06:05,^3Xen_Crypt,,MOD_DISRUPTOR,0,0,10.10623074,306.2494202,184,427,0,643,309,0,256,,,11,0
2018-05-05 kharzet 4v4.dm_26.dm_meta,414983,0:03:57,178538,1393664,MOD_DISRUPTOR,good,FALSE,,,,,0.6307885009,0:03:57,^3Xen_Base,^7Math AFK,MOD_DISRUPTOR,0,0,3.53733325,107.1919174,192,430,0,408,364,0,388,,,21,0
2018-05-11 nelvaan 4v4 1724.dm_26.dm_meta,886883,0:12:17,150620,,MOD_DISRUPTOR,good,FALSE,,,,,0.6776738766,0:12:17,^3XEN_CRYPT,,MOD_DISRUPTOR,0,0,0.83525002,25.310606,469,426,0,507,354,0,347,,,19,0
2018-05-14 nelvaan 4v4.dm_26.dm_meta,446696,0:06:37,50564,1265030,MOD_DISRUPTOR,good,FALSE,,,,,0.9928148654,0:06:37,^3Xen_Crypt,,MOD_DISRUPTOR,0,0,4.16276741,126.1444702,406,638,175,702,860,248,594,,,189,42
2018-05-17 sikurd 4v4.dm_26.dm_meta,529728,0:03:32,318165,1532631,MOD_DISRUPTOR,good,FALSE,,,,,0.8505735856,0:03:32,^3Xen_Crypt,,MOD_DISRUPTOR,0,0,4.256759167,128.9927063,493,429,0,444,897,0,644,,,197,44
2018-05-30 kharzet 4v4.dm_26.dm_meta,650504,0:07:01,230909,,MOD_DISRUPTOR,good,FALSE,,,,,0.9790757899,0:07:01,^3Xen_Crypt,^7ent FAN,MOD_DISRUPTOR,0,0,2.48041153,75.16398621,1279,499,216,514,1054,262,920,,,179,29
2018-06-03 kejim 3v3 (2).dm_26.dm_meta,173814059,0:08:00,173334932,174549959,MOD_DISRUPTOR,good,FALSE,,,,,0.9771731229,0:08:00,^3Xen_Crypt,^7ent FAN,MOD_DISRUPTOR,0,0,3.222498178,97.65145874,577,620,35,656,534,322,400,,,67,18
2018-06-09 ctf4 4v4.dm_26.dm_meta,687241,0:06:16,312394,,MOD_DISRUPTOR,good,FALSE,,,,,0.7529421852,0:06:16,^7xenspec,^7teh FAN,MOD_DISRUPTOR,0,0,1.760839701,53.35877991,227,493,111,383,252,296,330,,,48,35
2018-06-15 illimiran 4v4.dm_26.dm_meta,683735,0:10:42,42314,1524740,MOD_DISRUPTOR,good,FALSE,,,,,0.6872406056,0:10:42,^3Xen_Crypt,^7jawa,MOD_DISRUPTOR,0,0,6.937509537,210.2275696,789,470,292,390,438,25,314,,,28,0
2018-06-17 kejim 4v4.dm_26.dm_meta,1412441,0:19:43,230711,,MOD_DISRUPTOR,good,FALSE,,,,,0.9069637301,0:19:43,^3Xen_Crypt,^7jawa,MOD_DISRUPTOR,0,0,3.116212368,94.43067932,467,566,89,508,406,325,260,,,128,78
"2018-06-28 sikurd 4v4 0507,1155.dm_26.dm_meta",734984,0:09:21,175007,1035284,MOD_DISRUPTOR,good,FALSE,,,,,0.6320650974,0:09:21,^3Xen_Crypt,^7rick,MOD_DISRUPTOR,0,0,0.9911013842,30.03337479,564,339,125,321,524,0,715,,,29,0
2018-07-13 genarius 5v5.dm_26.dm_meta,1438247,0:17:16,243548,,MOD_DISRUPTOR,good,FALSE,,,,,0.9391129212,0:17:16,^3Xen_Crypt,^0it's time to oil up,MOD_DISRUPTOR,0,0,0.2953054607,8.94865036,1288,571,60,490,833,266,630,,,150,35
2018-07-29 kejim 3v3.dm_26.dm_meta,87066535,0:16:50,86057131,,MOD_DISRUPTOR,good,FALSE,,,,,0.876974727,0:16:50,^3Xen_Crypt,^7AmprE,MOD_DISRUPTOR,0,0,5.212920189,157.9672852,868,411,178,410,849,331,640,,,101,14
2018-08-05 kejim 3v3 (2).dm_26.dm_meta,2860951,0:11:02,2158183,3069280,MOD_DISRUPTOR,good,FALSE,,,,,0.9736917795,0:11:02,^3Xen_Crypt,,MOD_DISRUPTOR,0,0,4.328742027,131.173996,751,398,605,487,499,0,581,,,26,0
2018-09-21 kejim 2v2 1219.dm_26.dm_meta,37145683,0:15:24,36222640,,MOD_DISRUPTOR,good,FALSE,,,,,0.9998765708,0:15:24,^7xenspec,^1^^7Seef^1.,MOD_DISRUPTOR,0,0,8.295329094,251.3736115,872,714,78,706,948,202,823,,,790,66
2018-12-14 nelvaan 4v4.dm_26.dm_meta,1423537,0:18:32,178348,,MOD_DISRUPTOR,good,FALSE,,,,,0.7539005776,0:18:32,^3XEN_CRYPT,^0ent,MOD_DISRUPTOR,0,0,0.6211162806,18.82170486,907,329,0,493,769,105,526,,,320,77
"2019-05-19 ctf4 4v4 0538,1949.dm_26.dm_meta",1032747,0:12:03,310806,1525767,MOD_DISRUPTOR,good,FALSE,,,,,0.7308992647,0:12:03,^3Xen_Crypt,^74man,MOD_DISRUPTOR,0,0,15.35345268,465.256134,178,449,0,492,474,14,340,,,35,0
2019-06-02 corellia 4v4.dm_26.dm_meta,511446,0:03:57,275331,,MOD_DISRUPTOR,good,FALSE,,,,,0.8967059322,0:03:57,^3Xen_Crypt,^1^^2r^0d^2l,MOD_DISRUPTOR,0,0,0.2161963135,6.551403522,1087,442,0,624,594,10,667,,,35,0
2019-06-13 ctf4 4v4.dm_26.dm_meta,1037825,0:12:27,292520,1515929,MOD_DISRUPTOR,good,FALSE,,,,,0.8705502097,0:12:27,^3Xen_Crypt,^7Lenovo l440,MOD_DISRUPTOR,0,0,16.35383034,495.5706177,57,448,0,586,389,277,323,,,28,3
2019-07-13 talay 4v4 1334.dm_26.dm_meta,1133562,0:14:56,174417,1452837,MOD_DISRUPTOR,good,FALSE,,,,,0.554556344,0:14:56,^3Xen_Crypt,^7^^4r^7d^4l,MOD_DISRUPTOR,1.843903899,0.05587587506,6.251917839,189.4520569,515,0,0,87,533,419,385,,,331,229
2019-11-27 talay 4v4.dm_26.dm_meta,737958,0:08:43,216063,,MOD_DISRUPTOR,good,FALSE,,,,,0.83304311,0:08:43,^3Xen_Crypt,^7ger,MOD_DISRUPTOR,0,0,0.742410779,22.49729729,743,389,134,402,721,134,566,,,443,53
2019-12-26 ctf4 4v4.dm_26.dm_meta,1290077,0:01:14,1221635,2005616,MOD_DISRUPTOR,good,FALSE,,,,,0.9976123433,0:01:14,^3Xen_Crypt,,MOD_DISRUPTOR,2.266121626,0.06867035478,28.9689827,877.8479614,459,450,582,541,485,207,570,,,621,442
2019-12-26 kothis 4v4.dm_26.dm_meta,1089342,0:16:36,94095,1308330,MOD_DISRUPTOR,good,FALSE,,,,,0.643453471,0:16:36,^3Xen_Crypt,^7x's wannabe,MOD_DISRUPTOR,0,0,5.4772439,165.9770813,518,352,133,372,698,87,451,,,298,84
2020-01-05 kejim 4v4.dm_26.dm_meta,1949747,0:12:14,1219127,2213813,MOD_DISRUPTOR,good,FALSE,,,,,0.9018168919,0:12:14,^3Xen_Crypt,^7????,MOD_DISRUPTOR,0,0,25.42076492,770.3262329,388,362,97,511,217,279,287,,,406,374
2020-01-09 krildor 4v4.dm_26.dm_meta,1481481,0:18:41,361494,1576521,MOD_DISRUPTOR,good,FALSE,,,,,0.9895912728,0:18:41,^3Xen_Crypt,^7csr(exhausted),MOD_DISRUPTOR,0,0,2.406444788,72.92256927,406,534,255,527,937,73,730,,,523,50
2020-01-18 ctf4 4v4.dm_26.dm_meta,1102975,0:01:51,997177,2206957,MOD_DISRUPTOR,good,FALSE,,,,,0.6350904805,0:01:51,^3Xen_Crypt,^1-=cAtA=-,MOD_DISRUPTOR,0,0,4.140723705,125.4764786,743,306,276,315,529,127,683,,,37,8
2020-01-20 nelvaan 3v3.dm_26.dm_meta,355517,0:04:59,57989,1272092,MOD_DISRUPTOR,good,FALSE,,,,,0.8637705914,0:04:59,^3Xen_Crypt,^7Padawan,MOD_DISRUPTOR,0,0,2.142531157,64.92518616,940,425,0,427,783,106,714,,,333,92
2020-01-20 nelvaan 3v3.dm_26.dm_meta,478838,0:07:02,57989,1272092,MOD_DISRUPTOR,good,FALSE,,,,,1,0:07:02,^3Xen_Crypt,^7duo,MOD_DISRUPTOR,0,0,68.36724091,2071.734619,168,26,3,512,203,445,382,,,1583,1553
2020-01-25 kharzet 4v4.dm_26.dm_meta,830754,0:12:17,95052,1309815,MOD_DISRUPTOR,good,FALSE,,,,,0.9201086967,0:12:17,^3Xen_Crypt,^7flower,MOD_DISRUPTOR,0,0,15.63053417,473.6525574,320,583,179,547,407,0,485,,,26,0
2020-01-31 kharzet 4v4.dm_26.dm_meta,1119669,0:17:09,92115,1347138,MOD_DISRUPTOR,good,FALSE,,,,,0.9911279612,0:17:09,^3Xen_Crypt,^7seeker,MOD_DISRUPTOR,0,0,21.92904091,664.5164185,429,448,0,464,500,348,449,,,664,368
2020-02-08 kharzet 4v4 1302.dm_26.dm_meta,743597,0:09:00,207413,1419371,MOD_DISRUPTOR,good,FALSE,,,,,0.6034265268,0:09:00,^3Xen_Crypt,^7kres,MOD_DISRUPTOR,3.383793354,0.0341797322,11.87304497,359.7892456,467,614,241,559,342,7,523,,,20,0
2020-02-09 kejim 4v4.dm_26.dm_meta,1030635,0:14:40,151812,1366674,MOD_DISRUPTOR,good,FALSE,,,,,0.872741553,0:14:40,^3Xen_Crypt,^1[^7B*^1],MOD_DISRUPTOR,0.9689947367,0.0293634776,6.095962048,184.72612,244,564,253,479,302,0,386,,,14,0
2020-02-15 taloraan 4v4.dm_26.dm_meta,1460753,0:17:16,430196,1640768,MOD_DISRUPTOR,good,FALSE,,,,,0.5070507213,0:17:16,^3Xen_Crypt,^7enab,MOD_DISRUPTOR,0,0,82.39510345,2496.821289,221,348,29,302,624,83,486,,,217,20
2020-02-16 sikurd 4v4 (2).dm_26.dm_meta,988758,0:02:38,831810,,MOD_DISRUPTOR,good,FALSE,,,,,0.9816657393,0:02:38,^3Xen_Crypt,^0Fl^5y^0nn,MOD_DISRUPTOR,0,0,5.948206425,180.2486877,818,640,190,593,766,126,641,,,282,72
2020-02-16 sikurd 4v4 (2).dm_26.dm_meta,1320111,0:08:10,831810,,MOD_DISRUPTOR,good,FALSE,,,,,0.7969374184,0:08:10,^3Xen_Crypt,^7enab,MOD_DISRUPTOR,0,0,1.238839388,37.54058838,1306,425,0,585,230,0,624,,,8,0
2020-02-21 carratos 4v4.dm_26.dm_meta,958790,0:11:29,274139,1485701,MOD_DISRUPTOR,good,FALSE,,,,,0.9729057567,0:11:29,^3Xen_Crypt,^0Fl^5y^0nn,MOD_DISRUPTOR,0,0,12.25335884,371.3139038,741,587,91,598,780,0,767,,,44,0
2020-03-21 nelvaan 3v3.dm_26.dm_meta,549953,0:05:42,209327,1080296,MOD_DISRUPTOR,good,FALSE,,,,,0.9761000911,0:05:42,^3Xen_Crypt,^7flower,MOD_DISRUPTOR,1.9504987,0.01970200799,4.558710575,138.142746,510,545,321,526,668,382,522,,,281,146
2020-04-03 kejim 4v4 (2).dm_26.dm_meta,225530,0:03:06,40730,1255592,MOD_DISRUPTOR,good,FALSE,,,,,0.9036816112,0:03:06,^3Xen_Crypt,^5ski,MOD_DISRUPTOR,2.85713172,0.02885991707,24.73945236,749.6803589,672,648,246,659,511,196,447,,,142,54
2020-04-03 kharzet 4v4.dm_26.dm_meta,795807,0:11:52,85053,1299915,MOD_DISRUPTOR,good,FALSE,,,,,0.5786388229,0:11:52,^3Xen_Crypt,^5ski,MOD_DISRUPTOR,0,0,18.3108387,554.8739014,332,427,0,421,231,0,346,,,6,0
2020-04-06 nelvaan 3v3.dm_26.dm_meta,7799252,0:05:33,7467140,8452652,MOD_DISRUPTOR,good,FALSE,,,,,0.9980692626,0:05:33,^3Xen_Crypt,^6FLY^7ugioh^5!,MOD_DISRUPTOR,0,0,18.98578453,575.3267822,477,528,142,551,809,299,636,,,782,17
2020-04-07 kejim 4v4.dm_26.dm_meta,407327,0:06:11,37661,,MOD_DISRUPTOR,good,FALSE,,,,,0.8525731158,0:06:11,^3Xen_Crypt,^7milkbone,MOD_DISRUPTOR,0,0,8.652082443,262.1843262,810,433,0,391,754,309,661,,,105,24
2020-04-10 kejim 4v4 (2).dm_26.dm_meta,2119037,0:16:44,1116266,2331194,MOD_DISRUPTOR,good,FALSE,,,,,0.9914981234,0:16:44,^3Xen_Crypt,^7lg,MOD_DISRUPTOR,0,0,1.821561694,55.19884109,529,578,3,532,740,482,624,,,170,18
2020-04-10 kejim 4v4.dm_26.dm_meta,333799,0:05:34,5515,1115140,MOD_DISRUPTOR,good,FALSE,,,,,0.9812630519,0:05:34,^3Xen_Crypt,^7lg,MOD_DISRUPTOR,0,0,1.330128551,40.30692673,203,628,89,616,594,302,520,,,111,36
