_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2020-04-18 kejim 4v4 (2).dm_26.dm_meta,1176161,0:16:48,169397,1383236,MOD_DISRUPTOR_SNIPER,good,FALSE,0.61,0.7233333333,0.5109907488,0.9587865558,0:16:48,^3Xen_Crypt,^7jaw4,MOD_DISRUPTOR_SNIPER,0,0,13.29591274,402.9064636,455,0,0,178,364,0,404,,,15,0
2020-04-19 telti 4v4 (2).dm_26.dm_meta,1697037,0:06:02,1336248,2220978,MOD_DISRUPTOR_SNIPER,good,TRUE,0.7033333333,0.6533333333,0.7315285989,0.9962707257,0:06:02,^3Xen_Crypt,^7flower,MOD_DISRUPTOR_SNIPER,1.351921082,0.006827884354,2.298697233,69.65749359,87,0,0,125,1009,0,1212,,,77,0
2020-04-26 telti 8v7.dm_26.dm_meta,1703703,0:06:32,1312455,2138346,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7066666667,0.6766666667,0.6949179292,0.9707265338,0:06:32,^7xenplaying9s,^7CYD BASE ONLY,MOD_DISRUPTOR_SNIPER,1.670066476,0.01265201904,46.67666245,1414.444336,1133,0,0,105,866,340,823,,,188,50
2020-05-01 sertao_alpha2 1v1.dm_26.dm_meta,3544352,0:02:57,3370409,4041860,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5933333333,0.7566666667,0.5094787223,0.7854610122,0:02:57,^3Xen_Crypt,^7teh,MOD_DISRUPTOR_SNIPER,1.103729606,0.006689270493,6.804542542,206.1982574,1540,0,0,0,0,0,743,,,0,0
2020-05-03 kothis 4v4.dm_26.dm_meta,842403,0:10:58,185142,1407858,MOD_DISRUPTOR_SNIPER,good,FALSE,0.53,0.6833333333,0.5314325131,0.9246399297,0:10:58,^3Xen_Crypt,^5ski,MOD_DISRUPTOR_SNIPER,0,0,27.943573,846.7749634,152,0,0,0,217,75,256,,,24,8
2020-05-08 ctf3 5v6.dm_26.dm_meta,226120,0:03:46,7726,1216087,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6733333333,0.7,0.694247708,0.9814270321,0:03:46,^3Xen_Crypt,Force Pull,MOD_DISRUPTOR_SNIPER,0.3958509862,0.01199548412,54.68504333,1657.122559,555,0,0,0,282,222,301,,,107,73
2020-05-09 ctf4 3v5.dm_26.dm_meta,12804902,0:10:44,12376793,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6866666667,0.7433333333,0.5126614333,0.9942287716,0:10:44,^3Xen_Crypt,^7life sucks without x,MOD_DISRUPTOR_SNIPER,0,0,15.67318344,474.9449463,366,0,0,224,291,300,299,,,443,253
2020-05-10 kothis 4v4 (3).dm_26.dm_meta,525438,0:03:50,297045,1511841,MOD_DISRUPTOR_SNIPER,good,FALSE,0.63,0.5066666667,0.7210610991,0.9838878314,0:03:50,^3Xen_Crypt,^4h^0annah,MOD_DISRUPTOR_SNIPER,0,0,9.109475136,276.0447083,1095,320,234,385,473,239,496,,,385,38
2020-05-10 sertao_alpha3 4v4.dm_26.dm_meta,3779906,0:10:22,3159011,4373939,MOD_DISRUPTOR,good,FALSE,0.8333333333,0.9366666667,1,0.9999755344,0:10:22,^3Xen_Crypt,^4r^7d^4l,MOD_DISRUPTOR,0,0,7.452666759,225.8383942,571,745,65,908,954,215,883,,,247,55
2020-05-16 manaan 2v2.dm_26.dm_meta,1700172,0:05:59,1342089,2556258,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7033333333,0.6033333333,0.9547169901,0.9899169526,0:05:59,^7xen,^7<@248198723589373953>,MOD_DISRUPTOR_SNIPER,0.884416461,0.02680049837,10.33649445,313.2271118,979,524,456,565,191,212,376,,,161,60
