_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,label_ts,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
2018-04-29 reboam 5v5.dm_26.dm_meta,588142,0:06:10,219400,1434526,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:54:11,,,,,,,,,,,0,0,3.722768784,112.8111725,322,725,217,690,407,81,538,330,-8,42,0,^3Xen_Crypt,^4^^7Seef^4.
2018-04-30 paulking 4v4 (2).dm_26.dm_meta,1876062,0:09:51,1285956,1973841,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0.5850929022,0.01773008704,4.06403923,123.1527023,340,170,0,224,710,293,412,165,-1,523,330,^3Xen_Crypt,^8jaw4
2018-05-04 illimiran 4v4.dm_26.dm_meta,563714,0:07:33,112142,,MOD_REPEATER_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,7.970672131,0.1207677573,10.60332775,321.3129578,455,299,784,561,573,429,376,231,47,335,13,^3Xen_Crypt,^7r^4d^7l
2018-05-05 kharzet 4v4.dm_26.dm_meta,591137,0:06:54,178538,1393664,MOD_REPEATER_ALT,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,2.433397293,0.07373931259,5.109248161,154.8256989,652,120,3,326,350,963,516,462,-8,291,273,^3Xen_Base,^7Math AFK
2018-05-10 dosuun 4v4.dm_26.dm_meta,662058,0:08:07,176463,1391490,MOD_ROCKET,good,FALSE,2025-06-27 14:29:49,,,,,,,,,,,0,0,4.249060631,128.7594147,973,201,0,321,95,558,312,759,32,188,187,^3Xen_Crypt,^3L^7G
2018-05-11 nelvaan 4v4 1724.dm_26.dm_meta,178142,0:00:28,150620,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:54:11,,,,,,,,,,,0,0,0.3418143094,10.35800934,418,427,0,526,768,12,546,264,-1,56,0,^3XEN_CRYPT,^1^^7Seef^1.
2018-05-11 taspir 5v5.dm_26.dm_meta,532199,0:04:25,267902,1735247,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,2.961447239,89.74082947,696,275,75,225,765,180,387,330,26,1046,746,^3Xen_Crypt,^7-=^1redstar^7=-
2018-05-16 dantooine 4v4.dm_26.dm_meta,691919,0:10:20,72839,1287932,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,483,774,22,693,876,42,545,528,2,442,76,^3Xen_Crypt,
2018-05-16 metalorn 4v4.dm_26.dm_meta,859856,0:10:59,201902,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,329,610,549,609,871,108,615,330,-48,85,2,^3Xen_Crypt,^1s^7erkawa
2018-05-17 kejim 4v4 (3).dm_26.dm_meta,351755,0:02:54,178703,1393829,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-07-01 3:30:24,,,,,,,,,,,0,0,0.5881791115,17.82361031,657,457,145,752,988,255,619,528,1,804,39,^3Xen_Crypt,^7Jan
2018-05-25 kejim 4v4 (3).dm_26.dm_meta,4787726,0:16:33,3795218,,MOD_REPEATER_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,0,0,609,439,199,379,356,59,447,396,8,173,78,^3Xen_Crypt,
2018-05-26 kharzet 4v4.dm_26.dm_meta,882989,0:13:21,82508,1297238,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,7.26283741,220.0859833,529,425,99,417,551,142,477,231,30,401,72,^3Xen_Crypt,^7math^5.
2018-05-28 manaan 4v4.dm_26.dm_meta,581600,0:04:34,308492,1523618,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0.3546389341,0.003582211444,0.5056396723,15.3224144,697,637,0,738,706,92,499,528,9,25,0,^3Xen_Crypt,^7bra^2/^3/^4/^7sith
2018-06-01 talravin 4v4 0533.dm_26.dm_meta,527216,0:05:26,202166,,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0.9252679944,0.01401921175,5.558400631,168.4363861,599,486,65,494,701,246,568,957,30,413,153,^3Xen_Crypt,
2018-06-02 talravin 4v4.dm_26.dm_meta,894704,0:13:18,97721,1312319,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,0,0,492,434,0,377,716,319,488,396,2,604,26,^3Xen_Crypt,^1Ventila^0Denai
